iter	Passed	Remaining
0	3	3625
1	6	3406
2	9	3266
3	13	3289
4	16	3315
5	20	3358
6	23	3348
7	26	3342
8	30	3381
9	34	3390
10	37	3385
11	41	3398
12	45	3427
13	48	3437
14	52	3449
15	56	3445
16	59	3441
17	63	3438
18	66	3440
19	70	3441
20	74	3450
21	77	3464
22	81	3473
23	85	3481
24	89	3476
25	92	3478
26	96	3479
27	100	3483
28	103	3481
29	107	3485
30	111	3495
31	115	3491
32	118	3483
33	122	3488
34	126	3494
35	130	3503
36	135	3523
37	139	3528
38	143	3530
39	147	3538
40	151	3537
41	154	3535
42	158	3529
43	162	3525
44	165	3522
45	169	3518
46	173	3523
47	177	3517
48	181	3517
49	185	3517
50	188	3512
51	192	3510
52	196	3508
53	200	3515
54	204	3511
55	208	3511
56	212	3511
57	216	3510
58	219	3506
59	223	3503
60	227	3496
61	230	3484
62	234	3480
63	237	3473
64	241	3469
65	244	3460
66	248	3458
67	252	3455
68	256	3454
69	259	3450
70	263	3449
71	267	3446
72	271	3442
73	274	3440
74	278	3436
75	282	3429
76	285	3424
77	289	3423
78	293	3422
79	297	3419
80	301	3417
81	304	3413
82	308	3412
83	312	3409
84	316	3411
85	320	3406
86	324	3403
87	327	3397
88	332	3399
89	335	3396
90	339	3392
91	343	3391
92	347	3386
93	350	3382
94	354	3379
95	358	3379
96	362	3375
97	365	3368
98	369	3364
99	373	3360
100	377	3356
101	380	3351
102	384	3348
103	388	3344
104	391	3340
105	395	3336
106	399	3332
107	403	3330
108	407	3334
109	411	3329
110	415	3324
111	418	3317
112	421	3311
113	425	3304
114	428	3298
115	432	3294
116	435	3290
117	439	3284
118	442	3277
119	446	3274
120	450	3270
121	453	3265
122	457	3259
123	460	3253
124	464	3248
125	467	3244
126	471	3238
127	474	3235
128	478	3228
129	481	3223
130	485	3219
131	488	3213
132	492	3209
133	495	3204
134	499	3198
135	502	3193
136	506	3188
137	509	3183
138	512	3177
139	516	3170
140	519	3166
141	523	3162
142	526	3157
143	530	3153
144	534	3149
145	537	3143
146	540	3136
147	544	3131
148	547	3128
149	551	3123
150	554	3120
151	558	3116
152	561	3110
153	565	3107
154	568	3101
155	572	3098
156	575	3092
157	579	3087
158	583	3084
159	586	3079
160	589	3073
161	593	3069
162	596	3064
163	600	3060
164	603	3056
165	607	3053
166	611	3050
167	615	3047
168	618	3042
169	622	3038
170	625	3034
171	629	3032
172	633	3028
173	637	3024
174	640	3021
175	644	3017
176	648	3013
177	651	3010
178	655	3007
179	659	3004
180	663	3000
181	666	2996
182	669	2991
183	673	2987
184	677	2982
185	680	2976
186	683	2973
187	687	2969
188	690	2965
189	694	2960
190	697	2956
191	701	2952
192	705	2949
193	708	2944
194	712	2941
195	715	2936
196	719	2934
197	723	2929
198	726	2925
199	730	2922
200	734	2920
201	738	2916
202	742	2913
203	745	2908
204	749	2906
205	752	2901
206	756	2899
207	759	2893
208	764	2892
209	767	2888
210	771	2884
211	775	2880
212	778	2876
213	782	2873
214	785	2869
215	789	2865
216	792	2861
217	797	2860
218	801	2858
219	805	2854
220	808	2850
221	812	2847
222	816	2844
223	820	2840
224	823	2837
225	827	2834
226	830	2829
227	834	2825
228	838	2821
229	841	2818
230	845	2814
231	849	2810
232	852	2805
233	856	2802
234	859	2798
235	863	2794
236	867	2791
237	870	2788
238	874	2783
239	877	2779
240	881	2775
241	884	2771
242	888	2767
243	891	2763
244	895	2760
245	899	2756
246	903	2753
247	906	2749
248	910	2746
249	914	2742
250	917	2738
251	921	2733
252	924	2730
253	928	2726
254	932	2723
255	935	2719
256	939	2716
257	943	2712
258	946	2708
259	950	2704
260	953	2700
261	957	2696
262	961	2692
263	964	2689
264	968	2685
265	972	2682
266	975	2679
267	979	2676
268	983	2671
269	986	2668
270	990	2663
271	994	2660
272	997	2657
273	1001	2653
274	1004	2649
275	1008	2645
276	1012	2641
277	1015	2638
278	1019	2634
279	1023	2631
280	1026	2627
281	1030	2622
282	1033	2619
283	1037	2616
284	1041	2613
285	1045	2609
286	1049	2606
287	1053	2603
288	1056	2599
289	1060	2596
290	1064	2592
291	1067	2588
292	1071	2585
293	1074	2581
294	1078	2576
295	1081	2572
296	1084	2567
297	1088	2563
298	1091	2559
299	1094	2554
300	1098	2550
301	1102	2547
302	1105	2543
303	1109	2540
304	1112	2536
305	1116	2532
306	1120	2528
307	1123	2523
308	1126	2518
309	1129	2514
310	1133	2510
311	1136	2506
312	1140	2502
313	1143	2498
314	1147	2494
315	1150	2490
316	1154	2486
317	1157	2482
318	1160	2477
319	1163	2473
320	1167	2468
321	1170	2465
322	1179	2471
323	1182	2467
324	1186	2463
325	1189	2460
326	1193	2456
327	1197	2453
328	1201	2450
329	1205	2447
330	1208	2443
331	1212	2440
332	1216	2436
333	1220	2433
334	1224	2429
335	1227	2426
336	1231	2423
337	1235	2419
338	1239	2416
339	1242	2411
340	1246	2408
341	1249	2404
342	1253	2401
343	1257	2397
344	1260	2393
345	1264	2389
346	1267	2385
347	1271	2382
348	1274	2378
349	1278	2374
350	1282	2370
351	1285	2367
352	1289	2363
353	1293	2359
354	1297	2356
355	1300	2353
356	1304	2349
357	1308	2345
358	1311	2341
359	1315	2337
360	1318	2334
361	1322	2330
362	1325	2326
363	1329	2322
364	1333	2319
365	1336	2315
366	1340	2311
367	1344	2308
368	1348	2305
369	1351	2301
370	1355	2297
371	1359	2294
372	1363	2291
373	1366	2287
374	1370	2284
375	1374	2281
376	1378	2277
377	1381	2273
378	1385	2269
379	1388	2265
380	1392	2262
381	1396	2258
382	1399	2254
383	1403	2251
384	1407	2248
385	1411	2244
386	1414	2241
387	1418	2237
388	1422	2233
389	1425	2229
390	1429	2226
391	1433	2223
392	1437	2219
393	1441	2216
394	1444	2212
395	1448	2208
396	1451	2205
397	1455	2201
398	1459	2197
399	1463	2194
400	1466	2191
401	1470	2187
402	1473	2183
403	1477	2179
404	1480	2174
405	1483	2171
406	1487	2167
407	1491	2163
408	1494	2159
409	1498	2156
410	1501	2152
411	1505	2148
412	1508	2144
413	1511	2140
414	1515	2136
415	1518	2131
416	1522	2128
417	1525	2123
418	1528	2119
419	1531	2115
420	1535	2111
421	1538	2107
422	1541	2103
423	1545	2098
424	1548	2094
425	1551	2090
426	1554	2085
427	1557	2082
428	1561	2078
429	1564	2074
430	1568	2070
431	1571	2066
432	1575	2062
433	1578	2058
434	1581	2054
435	1584	2049
436	1588	2045
437	1591	2042
438	1594	2038
439	1598	2034
440	1601	2030
441	1604	2026
442	1608	2021
443	1611	2017
444	1614	2013
445	1617	2009
446	1621	2005
447	1624	2001
448	1627	1997
449	1631	1993
450	1634	1989
451	1638	1985
452	1641	1981
453	1644	1978
454	1648	1974
455	1651	1970
456	1654	1965
457	1657	1961
458	1660	1957
459	1664	1953
460	1667	1949
461	1670	1945
462	1673	1941
463	1676	1937
464	1679	1932
465	1683	1928
466	1686	1924
467	1689	1920
468	1693	1917
469	1696	1912
470	1699	1908
471	1702	1904
472	1705	1900
473	1709	1896
474	1712	1892
475	1715	1888
476	1719	1885
477	1722	1881
478	1726	1877
479	1729	1873
480	1733	1870
481	1736	1866
482	1740	1863
483	1744	1860
484	1748	1856
485	1752	1853
486	1756	1849
487	1759	1846
488	1764	1843
489	1768	1840
490	1772	1837
491	1776	1834
492	1780	1831
493	1784	1827
494	1788	1824
495	1791	1820
496	1795	1817
497	1799	1814
498	1803	1810
499	1807	1807
500	1811	1803
501	1814	1800
502	1818	1796
503	1822	1793
504	1825	1789
505	1829	1786
506	1833	1783
507	1837	1779
508	1842	1776
509	1845	1773
510	1849	1769
511	1852	1766
