iter	RMSE
0	8111.520092
1	7688.826273
2	7276.581893
3	6897.492908
4	6549.382195
5	6225.775454
6	5904.464022
7	5608.155204
8	5327.143182
9	5067.693114
10	4822.842231
11	4588.433446
12	4372.414096
13	4175.226268
14	3987.393436
15	3805.608608
16	3636.332408
17	3472.446892
18	3321.519311
19	3182.10156
20	3038.823882
21	2918.913503
22	2800.891811
23	2692.89512
24	2584.055434
25	2486.528512
26	2399.830341
27	2312.792633
28	2230.761746
29	2156.005884
30	2078.12005
31	2006.173436
32	1944.68631
33	1889.055965
34	1829.701773
35	1774.642001
36	1716.890181
37	1672.00478
38	1624.572629
39	1582.994185
40	1544.618796
41	1498.921913
42	1465.384296
43	1438.798253
44	1408.683916
45	1372.503839
46	1341.895088
47	1313.720555
48	1289.522642
49	1265.49065
50	1247.53942
51	1223.622223
52	1206.424335
53	1180.989988
54	1161.849675
55	1144.262476
56	1125.100847
57	1107.32743
58	1092.60654
59	1073.439373
60	1058.658988
61	1047.456145
62	1033.037819
63	1020.27303
64	1003.353028
65	992.7855955
66	981.9608839
67	973.2302469
68	967.6371973
69	959.5551879
70	945.7940176
71	940.2753612
72	926.8707238
73	919.2632091
74	913.6332368
75	909.9037631
76	907.021413
77	902.3654309
78	894.5760945
79	891.8110154
80	880.0681772
81	875.6929485
82	865.2088166
83	858.3170212
84	848.1644071
85	844.6720618
86	839.7755161
87	831.0247663
88	827.8591687
89	825.4336725
90	820.0905205
91	812.3910335
92	811.1299512
93	807.2339962
94	802.4014995
95	794.897313
96	792.017374
97	789.952172
98	782.7698788
99	777.992299
100	775.372809
101	773.6671674
102	766.6279607
103	763.7579958
104	756.9245163
105	755.2519443
106	752.7812461
107	747.2691988
108	745.2391026
109	742.8502228
110	741.6652009
111	736.6765387
112	734.7030224
113	732.5993854
114	731.6789506
115	729.5117474
116	724.7438647
117	719.418474
118	717.6795263
119	716.2637883
120	715.6124491
121	712.2936816
122	707.1921766
123	703.90415
124	701.9513718
125	700.1640687
126	697.5311089
127	696.2266417
128	695.3002082
129	693.1005661
130	691.0822542
131	688.7986082
132	687.1288953
133	684.6933533
134	682.8834545
135	680.370269
136	677.8850586
137	677.1647203
138	674.4289758
139	671.750359
140	670.2052952
141	667.6957947
142	665.9859525
143	664.4625275
144	664.313178
145	662.4176603
146	660.2119435
147	658.2890108
148	655.5273366
149	655.4092654
150	654.9764669
151	654.1092809
152	652.5174591
153	650.6350099
154	646.8867733
155	646.5594044
156	644.6487588
157	641.3851183
158	641.1816149
159	638.1890826
160	638.0048458
161	635.1011607
162	634.810902
163	632.8521222
164	630.7428655
165	628.0517358
166	627.8728763
167	627.6885017
168	627.5091285
169	627.3398641
170	627.1730885
171	624.6228189
172	622.9108923
173	622.7577064
174	621.2964907
175	621.1461471
176	620.9917997
177	620.4229391
178	620.3199997
179	618.9116557
180	616.551024
181	616.4183006
