iter	Passed	Remaining
0	3	3183
1	6	3417
2	10	3381
3	13	3259
4	16	3277
5	19	3282
6	22	3216
7	25	3181
8	29	3243
9	33	3316
10	36	3309
11	40	3294
12	43	3312
13	46	3307
14	56	3738
15	60	3718
16	63	3676
17	67	3695
18	71	3683
19	74	3636
20	77	3609
21	80	3566
22	83	3526
23	85	3480
24	88	3448
25	91	3418
26	93	3384
27	96	3354
28	99	3322
29	102	3298
30	104	3280
31	108	3267
32	111	3257
33	114	3251
34	117	3246
35	120	3231
36	123	3220
37	126	3203
38	129	3187
39	132	3178
40	135	3169
41	138	3159
42	141	3143
43	144	3139
44	147	3133
45	150	3130
46	153	3118
47	156	3109
48	159	3098
49	162	3085
50	165	3078
51	168	3066
52	171	3057
53	173	3046
54	177	3042
55	179	3032
56	182	3023
57	185	3016
58	188	3008
59	191	3001
60	194	2990
61	197	2981
62	199	2972
63	202	2964
64	206	2966
65	209	2965
66	212	2960
67	215	2954
68	218	2949
69	221	2943
70	224	2938
71	227	2932
72	230	2926
73	233	2917
74	236	2911
75	239	2908
76	242	2903
77	245	2899
78	248	2892
79	251	2889
80	254	2884
81	257	2877
82	260	2876
83	263	2873
84	266	2872
85	269	2866
86	272	2864
87	275	2857
88	278	2854
89	281	2848
90	284	2845
91	287	2841
92	290	2835
93	293	2830
94	296	2825
95	299	2823
96	302	2819
97	306	2821
98	310	2821
99	313	2819
100	316	2814
101	319	2808
102	322	2804
103	325	2803
104	329	2808
105	333	2809
106	336	2806
107	339	2804
108	343	2807
109	347	2809
110	350	2805
111	353	2803
112	357	2804
113	361	2805
114	364	2805
115	368	2808
116	371	2806
117	375	2805
118	378	2800
119	381	2801
120	385	2800
121	388	2797
122	391	2793
123	395	2790
124	397	2783
125	401	2784
126	404	2779
127	407	2778
128	411	2775
129	414	2773
130	417	2769
131	421	2771
132	424	2768
133	427	2765
134	430	2761
135	434	2759
136	437	2754
137	440	2750
138	443	2747
139	446	2744
140	450	2743
141	453	2741
142	456	2737
143	459	2733
144	462	2730
145	465	2724
146	468	2721
147	471	2716
148	474	2712
149	477	2708
150	480	2704
151	484	2700
152	487	2697
153	490	2693
154	493	2689
155	497	2693
156	501	2693
157	504	2690
158	508	2688
159	511	2686
160	515	2685
161	518	2683
162	522	2682
163	525	2679
164	529	2677
165	532	2674
166	535	2671
167	538	2668
